Phase,Magnitude,,
-0.162663,13.646658,,
-0.161662,13.62828,,
-0.160661,13.646026,,
-0.15966,13.671211,,
-0.158659,13.698261,,
-0.157658,13.646702,,
-0.156657,13.65839,,
-0.155656,13.683068,,
-0.154655,13.65307,,
-0.153654,13.660265,,
-0.152653,13.68161,,
-0.151652,13.679711,,
-0.150651,13.676954,,
-0.14965,13.649082,,
-0.148649,13.65267,,
-0.147648,13.69928,,
-0.146647,13.678962,,
-0.145646,13.675155,,
-0.144645,13.688528,,
-0.143644,13.702794,,
-0.142643,13.640767,,
-0.141642,13.67785,,
-0.140641,13.71365,,
-0.13964,13.673176,,
-0.138639,13.707449,,
-0.137638,13.702544,,
-0.136637,13.692605,,
-0.135636,13.697067,,
-0.134635,13.700722,,
-0.133634,13.743093,,
-0.132633,13.679835,,
-0.131632,13.73894,,
-0.130631,13.725921,,
-0.12963,13.710777,,
-0.128629,13.710544,,
-0.127628,13.735743,,
-0.126627,13.723636,,
-0.125626,13.733108,,
-0.124625,13.738373,,
-0.123624,13.726866,,
-0.122623,13.736929,,
-0.121622,13.759572,,
-0.120621,13.750326,,
-0.11962,13.69847,,
-0.118619,13.684861,,
-0.117618,13.742766,,
-0.116617,13.744107,,
-0.115616,13.767937,,
-0.114615,13.748179,,
-0.113614,13.779978,,
-0.112613,13.747855,,
-0.111612,13.753636,,
-0.110611,13.78876,,
-0.10961,13.797654,,
-0.108609,13.768229,,
-0.107608,13.752973,,
-0.106607,13.7873,,
-0.105606,13.779511,,
-0.104605,13.836322,,
-0.103604,13.823826,,
-0.102603,13.816761,,
-0.101602,13.824552,,
-0.100601,13.801969,,
-0.0996,13.834416,,
-0.098599,13.808681,,
-0.097598,13.785278,,
-0.096597,13.79196,,
-0.095596,13.816113,,
-0.094595,13.793414,,
-0.093594,13.826345,,
-0.092593,13.802185,,
-0.091592,13.82128,,
-0.090591,13.853927,,
-0.08959,13.853856,,
-0.088589,13.832969,,
-0.087588,13.877848,,
-0.086587,13.860604,,
-0.085586,13.833899,,
-0.084585,13.854897,,
-0.083584,13.854932,,
-0.082583,13.873568,,
-0.081582,13.85453,,
-0.080581,13.839811,,
-0.07958,13.87745,,
-0.078579,13.906194,,
-0.077578,13.865782,,
-0.076577,13.875847,,
-0.075576,13.886925,,
-0.074575,13.869934,,
-0.073574,13.874182,,
-0.072573,13.905016,,
-0.071572,13.909793,,
-0.070571,13.939698,,
-0.06957,13.913006,,
-0.068569,13.908618,,
-0.067568,13.956715,,
-0.066567,13.924738,,
-0.065566,13.896011,,
-0.064565,13.880271,,
-0.063564,13.921994,,
-0.062563,13.942675,,
-0.061562,13.955103,,
-0.060561,13.951149,,
-0.05956,13.983298,,
-0.058559,13.942694,,
-0.057558,13.96135,,
-0.056557,13.914721,,
-0.055556,14.036463,,
-0.054555,13.927219,,
-0.053554,13.998873,,
-0.052553,14.006907,,
-0.051552,14.010977,,
-0.050551,13.973821,,
-0.04955,13.980186,,
-0.048549,13.991562,,
-0.047548,13.963415,,
-0.046547,13.943412,,
-0.045546,13.964659,,
-0.044545,13.972833,,
-0.043544,13.990856,,
-0.042543,13.98404,,
-0.041542,13.998143,,
-0.040541,14.006172,,
-0.03954,14.028058,,
-0.038539,14.005366,,
-0.037538,13.968451,,
-0.036537,14.014818,,
-0.035536,13.946041,,
-0.034535,14.006521,,
-0.033534,13.993634,,
-0.032533,13.98543,,
-0.031532,13.984859,,
-0.030531,14.000967,,
-0.02953,14.003,,
-0.028529,13.948613,,
-0.027528,14.009322,,
-0.026527,13.990176,,
-0.025526,14.044487,,
-0.024525,14.008307,,
-0.023524,13.992625,,
-0.022523,13.989293,,
-0.021522,13.980137,,
-0.020521,13.999337,,
-0.01952,14.039523,,
-0.018519,13.945003,,
-0.017518,14.04951,,
-0.016517,14.021082,,
-0.015516,14.013715,,
-0.014515,13.998841,,
-0.013514,14.046361,,
-0.012513,14.017806,,
-0.011512,14.001491,,
-0.010511,13.983276,,
-0.00951,13.976896,,
-0.008509,14.010309,,
-0.007508,14.009277,,
-0.006507,14.019035,,
-0.005506,13.982958,,
-0.004505,13.986566,,
-0.003504,13.998837,,
-0.002503,14.024907,,
-0.001502,13.904419,,
-0.000501,13.984801,,
0.000501,13.947627,,
0.001502,13.992097,,
0.002503,14.060431,,
0.003504,13.98378,,
0.004505,13.988114,,
0.005506,14.0082,,
0.006507,13.941003,,
0.007508,14.019105,,
0.008509,13.962094,,
0.00951,13.956077,,
0.010511,14.000654,,
0.011512,13.971453,,
0.012513,13.998659,,
0.013514,13.988899,,
0.014515,13.996681,,
0.015516,13.973369,,
0.016517,13.977353,,
0.017518,14.006116,,
0.018519,13.97123,,
0.01952,13.98542,,
0.020521,13.983859,,
0.021522,13.97069,,
0.022523,14.028219,,
0.023524,13.998594,,
0.024525,14.005105,,
0.025526,14.003881,,
0.026527,13.994314,,
0.027528,13.983255,,
0.028529,14.014198,,
0.02953,13.996995,,
0.030531,13.96967,,
0.031532,13.970403,,
0.032533,13.98204,,
0.033534,13.985963,,
0.034535,13.956409,,
0.035536,13.980931,,
0.036537,14.033934,,
0.037538,13.962106,,
0.038539,13.993218,,
0.03954,13.960788,,
0.040541,13.960779,,
0.041542,13.986743,,
0.042543,13.939218,,
0.043544,13.954983,,
0.044545,13.945288,,
0.045546,13.925815,,
0.046547,13.994804,,
0.047548,13.96479,,
0.048549,13.935041,,
0.04955,13.930906,,
0.050551,13.926043,,
0.051552,13.936818,,
0.052553,13.929338,,
0.053554,13.943368,,
0.054555,13.905955,,
0.055556,13.90172,,
0.056557,13.930418,,
0.057558,13.872648,,
0.058559,13.910158,,
0.05956,13.877365,,
0.060561,13.879499,,
0.061562,13.85889,,
0.062563,13.836628,,
0.063564,13.845782,,
0.064565,13.864883,,
0.065566,13.840249,,
0.066567,13.860218,,
0.067568,13.831899,,
0.068569,13.826286,,
0.06957,13.891311,,
0.070571,13.853229,,
0.071572,13.847592,,
0.072573,13.811559,,
0.073574,13.828517,,
0.074575,13.852133,,
0.075576,13.821729,,
0.076577,13.829406,,
0.077578,13.812693,,
0.078579,13.825446,,
0.07958,13.800064,,
0.080581,13.806927,,
0.081582,13.804268,,
0.082583,13.80329,,
0.083584,13.81146,,
0.084585,13.780811,,
0.085586,13.788649,,
0.086587,13.797527,,
0.087588,13.794906,,
0.088589,13.799969,,
0.08959,13.773883,,
0.090591,13.746765,,
0.091592,13.759096,,
0.092593,13.754667,,
0.093594,13.707194,,
0.094595,13.747749,,
0.095596,13.732452,,
0.096597,13.781883,,
0.097598,13.754377,,
0.098599,13.777974,,
0.0996,13.752331,,
0.100601,13.73563,,
0.101602,13.735612,,
0.102603,13.739492,,
0.103604,13.71973,,
0.104605,13.725515,,
0.105606,13.769411,,
0.106607,13.711594,,
0.107608,13.751413,,
0.108609,13.710324,,
0.10961,13.704356,,
0.110611,13.692373,,
0.111612,13.721983,,
0.112613,13.720226,,
0.113614,13.685192,,
0.114615,13.707828,,
0.115616,13.71012,,
0.116617,13.720674,,
0.117618,13.70892,,
0.118619,13.715229,,
0.11962,13.681575,,
0.120621,13.668475,,
0.121622,13.67905,,
0.122623,13.664755,,
0.123624,13.664474,,
0.124625,13.674648,,
0.125626,13.673143,,
0.126627,13.669935,,
0.127628,13.649027,,
0.128629,13.65697,,
0.12963,13.660307,,
0.130631,13.646708,,
0.131632,13.648242,,
0.132633,13.668824,,
0.133634,13.652941,,
0.134635,13.684241,,
0.135636,13.6219,,
0.136637,13.628323,,
0.137638,13.668824,,
0.138639,13.697614,,
0.13964,13.654304,,
0.140641,13.648692,,
0.141642,13.637091,,
0.142643,13.63667,,
0.143644,13.645235,,
0.144645,13.625377,,
0.145646,13.660396,,
0.146647,13.641789,,
0.147648,13.643864,,
0.148649,13.626246,,
0.14965,13.64556,,
0.150651,13.64889,,
0.151652,13.625706,,
0.152653,13.597576,,
0.153654,13.646365,,
0.154655,13.647431,,
0.155656,13.619143,,
0.156657,13.616484,,
0.157658,13.596024,,
0.158659,13.61909,,
0.15966,13.638403,,
0.160661,13.632804,,
0.161662,13.629942,,
0.162663,13.608326,,
0.163664,13.588372,,
0.164665,13.666501,,
0.165666,13.603277,,
0.166667,13.630687,,
0.167668,13.602394,,
0.168669,13.642451,,
0.16967,13.588369,,
0.170671,13.641608,,
0.171672,13.599321,,
0.172673,13.57505,,
0.173674,13.591755,,
0.174675,13.60007,,
0.175676,13.59704,,
0.176677,13.591205,,
0.177678,13.594944,,
0.178679,13.597749,,
0.17968,13.596179,,
0.180681,13.59644,,
0.181682,13.593584,,
0.182683,13.608552,,
0.183684,13.62584,,
0.184685,13.586486,,
0.185686,13.562382,,
0.186687,13.577406,,
0.187688,13.575252,,
0.188689,13.579119,,
0.18969,13.576206,,
0.190691,13.585735,,
0.191692,13.575233,,
0.192693,13.607897,,
0.193694,13.565445,,
0.194695,13.576933,,
0.195696,13.59679,,
0.196697,13.583591,,
0.197698,13.570209,,
0.198699,13.582343,,
0.1997,13.567062,,
0.200701,13.574721,,
0.201702,13.508904,,
0.202703,13.560429,,
0.203704,13.576281,,
0.204705,13.602154,,
0.205706,13.56067,,
0.206707,13.579729,,
0.207708,13.589052,,
0.208709,13.559307,,
0.20971,13.561602,,
0.210711,13.539941,,
0.211712,13.546185,,
0.212713,13.549552,,
0.213714,13.556905,,
0.214715,13.550207,,
0.215716,13.548694,,
0.216717,13.564655,,
0.217718,13.543217,,
0.218719,13.569662,,
0.21972,13.530931,,
0.220721,13.532954,,
0.221722,13.55627,,
0.222723,13.540635,,
0.223724,13.551711,,
0.224725,13.532104,,
0.225726,13.595728,,
0.226727,13.56397,,
0.227728,13.553718,,
0.228729,13.565403,,
0.22973,13.567005,,
0.230731,13.552538,,
0.231732,13.552382,,
0.232733,13.528356,,
0.233734,13.546517,,
0.234735,13.556671,,
0.235736,13.54132,,
0.236737,13.568945,,
0.237738,13.551668,,
0.238739,13.538524,,
0.23974,13.566363,,
0.240741,13.544659,,
0.241742,13.538276,,
0.242743,13.560878,,
0.243744,13.550748,,
0.244745,13.549386,,
0.245746,13.553006,,
0.246747,13.540807,,
0.247748,13.535164,,
0.248749,13.574294,,
0.24975,13.580204,,
0.250751,13.549618,,
0.251752,13.54004,,
0.252753,13.55499,,
0.253754,13.556949,,
0.254755,13.549363,,
0.255756,13.524301,,
0.256757,13.56357,,
0.257758,13.554885,,
0.258759,13.539739,,
0.25976,13.569293,,
0.260761,13.535652,,
0.261762,13.556244,,
0.262763,13.544998,,
0.263764,13.548588,,
0.264765,13.566255,,
0.265766,13.564612,,
0.266767,13.563628,,
0.267768,13.527256,,
0.268769,13.56551,,
0.26977,13.564227,,
0.270771,13.558351,,
0.271772,13.537683,,
0.272773,13.576631,,
0.273774,13.562912,,
0.274775,13.579111,,
0.275776,13.561177,,
0.276777,13.582988,,
0.277778,13.568063,,
0.278779,13.544006,,
