Phase,Magnitude
0.167668,13.902202
0.168669,13.8825
0.16967,13.866943
0.170671,13.888517
0.171672,13.86953
0.172673,13.850485
0.173674,13.868023
0.174675,13.86113
0.175676,13.874981
0.176677,13.84398
0.177678,13.876317
0.178679,13.871821
0.17968,13.867708
0.180681,13.851609
0.181682,13.845123
0.182683,13.8612
0.183684,13.880365
0.184685,13.850037
0.185686,13.829791
0.186687,13.845828
0.187688,13.82908
0.188689,13.921752
0.18969,13.910068
0.190691,13.836764
0.191692,13.838169
0.192693,13.855931
0.193694,13.8417
0.194695,13.84316
0.195696,13.838702
0.196697,13.815195
0.197698,13.82908
0.198699,13.840857
0.1997,13.82948
0.200701,13.833264
0.201702,13.84189
0.202703,13.830364
0.203704,13.833655
0.204705,13.813096
0.205706,13.889599
0.206707,13.835005
0.207708,13.805172
0.208709,13.82384
0.20971,13.806906
0.210711,13.823732
0.211712,13.845145
0.212713,13.837388
0.213714,13.825613
0.214715,13.923792
0.215716,13.862417
0.216717,13.786276
0.217718,13.80991
0.218719,13.813389
0.21972,13.842682
0.220721,13.842033
0.221722,13.824016
0.222723,13.811411
0.223724,13.801229
0.224725,13.821465
0.225726,13.827224
0.226727,13.843783
0.227728,13.806209
0.228729,13.803024
0.22973,13.812836
0.230731,13.823654
0.231732,13.806793
0.232733,13.850449
0.233734,13.825113
0.234735,13.837476
0.235736,13.842934
0.236737,13.80459
0.237738,13.801801
0.238739,13.806708
0.23974,13.811064
0.240741,13.830188
0.241742,13.792888
0.242743,13.826666
0.243744,13.795306
0.244745,13.818926
0.245746,13.807339
0.246747,13.82165
0.247748,13.772982
0.248749,13.786114
0.24975,13.808803
0.250751,13.780999
0.251752,13.793721
0.252753,13.816276
0.253754,13.870743
0.254755,13.783399
0.255756,13.786467
0.256757,13.82282
0.257758,13.789758
0.258759,13.797398
0.25976,13.794183
0.260761,13.831629
0.261762,13.791776
0.262763,13.817442
0.263764,13.810901
0.264765,13.805344
0.265766,13.820498
0.266767,13.824452
0.267768,13.796271
0.268769,13.792659
0.26977,13.797887
